활동 종류,날짜,즐겨찾기,제목,거리,칼로리,시간,평균 심박,최대심박,유산소 훈련 효과,평균 수영 케이던스,최고 수영 케이던스,평균 페이스,최대 페이스,총 상승,총 하강,평균 보폭,평균 수직 비율,평균 수직 진동,평균 지면 접촉 시간,평균 GAP,평균 수영 케이던스,최고 수영 케이던스,Normalized Power® (NP®),Training Stress Score®,최대 평균파워(20분),평균 파워,최대 파워,총 스트로크,평균 Swolf,평균 스트로크 속도,걸음,총 반복 횟수,총 세트,바디 배터리 방전,최저 온도,감압,최고 랩 기록,랩 수,최고 온도,평균 응답,최소 응답,최대 응답,평균 스트레스,최대 스트레스,이동 시간,경과 시간,최저 해발,최고 해발
스텝퍼,2026-03-04 18:55:22,false,"스텝퍼","0.00","154","00:30:44","109","123","0.5","86","223","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","2,836","--","--","-2","--","아니오","00:30:44","1","--","20","14","27","--","--","00:00:00","00:30:44","--","--"
트레드밀 러닝,2026-03-04 18:08:33,false,"트레드밀 러닝","8.02","419","00:38:35","140","171","2.8","184","240","4:49","3:38","--","--","1.13","7.4","8.3","232","--","--","--","325","0.0","--","320","432","--","--","--","7,118","--","--","-8","--","아니오","00:00:05.4","9","--","32","18","43","--","--","00:38:13","00:42:59","--","--"
트레드밀 러닝,2026-03-04 12:19:14,false,"트레드밀 러닝","7.54","332","00:40:02","127","174","1.9","177","186","5:19","4:58","--","--","1.07","8.0","8.6","247","--","--","--","298","0.0","--","296","329","--","--","--","7,064","--","--","--","--","아니오","00:02:46.8","8","--","31","17","48","--","--","00:39:40","00:41:10","--","--"
스텝퍼,2026-03-03 18:33:28,false,"스텝퍼","0.00","211","00:30:33","122","147","1.0","94","166","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","3,122","--","--","--","--","아니오","00:30:33","1","--","21","12","30","--","--","00:00:00","00:30:33","--","--"
트레드밀 러닝,2026-03-03 18:07:35,false,"트레드밀 러닝","5.04","262","00:24:54","135","175","2.3","179","205","4:57","3:19","--","--","1.12","7.8","8.6","240","--","--","--","322","0.0","--","316","459","--","--","--","4,476","--","--","-3","--","아니오","00:00:07.3","6","--","35","17","48","--","--","00:24:52","00:24:54","--","--"
트레드밀 러닝,2026-03-03 12:20:03,false,"트레드밀 러닝","6.51","325","00:33:04","134","150","2.1","181","189","5:05","4:27","--","--","1.09","7.7","8.4","240","--","--","--","309","0.0","--","307","365","--","--","--","5,950","--","--","-5","--","아니오","00:02:29.4","7","--","--","--","--","--","--","00:32:53","00:33:04","--","--"
스텝퍼,2026-03-02 22:25:43,false,"스텝퍼","0.00","105","00:20:03","102","183","0.4","140","165","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","2,906","--","--","--","--","아니오","00:20:03","1","--","--","--","--","--","--","00:00:00","00:20:03","--","--"
스텝퍼,2026-03-02 12:52:55,false,"스텝퍼","0.00","172","00:40:04","95","107","0.4","137","152","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","5,546","--","--","-1","--","아니오","00:40:04","1","--","--","--","--","--","--","00:00:00","00:40:04","--","--"
실내 자전거타기,2026-03-02 11:19:56,false,"실내 자전거타기","2.44","73","00:06:21.5","--","--","0.2","--","--","23.1","30.3","--","--","--","--","--","--","--","90","98","199","6.7","--","170","294","470","--","--","--","--","--","--","22.0","아니오","00:06:21.5","1","22.0","--","--","--","--","--","00:05:21","00:06:21.5","--","--"
실내 자전거타기,2026-03-02 10:17:54,false,"실내 자전거타기","17.41","585","00:49:24","--","--","2.0","--","--","21.1","37.2","--","--","--","--","--","--","--","84","108","180","45.4","180","175","409","4129","--","--","--","--","--","--","18.0","아니오","00:49:24","1","22.0","--","--","--","--","--","00:49:15","00:49:24","--","--"
